-0.000056,0.000061,0.876412,1.570863,-0.000064,0.0,-0.056441,0.060737,876.413125,1570.865295,-0.063565,0.0,-0.197164,0.00177,-0.010559,0.366996,-0.167682,0.001038,-0.190295,-0.008606,-0.014588,0.365072,-0.172705,0.000855,0.08725,0.174482,0.0,-0.349008,0.0,0.0,0.0,0.08725,-0.174482,0.0,-0.349008,0.0,-0.0,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,-0.0,0.0,-0.0,
-0.000035,0.00013,0.876412,1.570863,-0.000064,1.553521,0.021397,0.069217,-0.000079,0.0,-0.000009,1553.523949,-0.197164,0.001717,-0.010409,0.366996,-0.167682,0.001122,-0.190347,-0.008672,-0.014478,0.365081,-0.172665,0.000941,0.087218,0.174482,-0.000022,-0.348954,0.0,0.0,0.0,0.087226,-0.174495,0.000027,-0.348995,-0.0,0.0,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,-0.000059,0.0,0.0,
-0.000014,0.000199,0.876411,1.570863,-0.000064,1.553662,0.021397,0.069217,-0.000156,0.0,-0.000009,0.141015,-0.197164,0.001664,-0.010259,0.366996,-0.167682,0.001206,-0.190398,-0.008738,-0.014368,0.365091,-0.172624,0.001027,0.087187,0.174482,-0.000044,-0.3489,-0.0,0.0,0.0,0.087202,-0.174508,0.000055,-0.348982,0.0,0.0,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,-0.000117,0.0,0.0,
0.000008,0.000268,0.876411,1.570863,-0.000064,1.553803,0.021397,0.069217,-0.000079,0.0,-0.000009,0.141148,-0.197164,0.001611,-0.010109,0.366996,-0.167682,0.00129,-0.19045,-0.008804,-0.014258,0.3651,-0.172584,0.001113,0.087156,0.174482,-0.000066,-0.348846,0.0,0.0,0.0,0.087178,-0.174521,0.000082,-0.348969,0.0,0.0,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,-0.000176,0.0,0.0,
0.000029,0.000338,0.876411,1.570863,-0.000064,1.553944,0.021397,0.069217,-0.000079,0.0,-0.000009,0.141015,-0.197164,0.001558,-0.009959,0.366996,-0.167682,0.001375,-0.190501,-0.00887,-0.014149,0.365109,-0.172543,0.001199,0.087125,0.174482,-0.000088,-0.348793,0.0,0.0,0.0,0.087154,-0.174533,0.00011,-0.348956,0.0,0.0,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,-0.000234,0.0,0.0,
0.000051,0.000407,0.876411,1.570863,-0.000064,1.554085,0.021397,0.069217,-0.000156,0.0,-0.000009,0.141015,-0.197164,0.001505,-0.009809,0.366996,-0.167682,0.001459,-0.190553,-0.008936,-0.014039,0.365119,-0.172503,0.001285,0.087094,0.174482,-0.00011,-0.348739,0.0,0.0,0.0,0.08713,-0.174546,0.000137,-0.348943,0.0,0.0,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,-0.000293,0.0,0.0,
0.000072,0.000476,0.876411,1.570863,-0.000064,1.554227,0.021397,0.069217,-0.000079,0.0,-0.000009,0.141015,-0.197164,0.001451,-0.009659,0.366996,-0.167682,0.001543,-0.190604,-0.009002,-0.013929,0.365128,-0.172463,0.001371,0.087063,0.174482,-0.000132,-0.348685,-0.0,0.0,0.0,0.087107,-0.174559,0.000165,-0.34893,0.0,0.0,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,-0.000352,0.0,-0.0,
0.000093,0.000545,0.876411,1.570863,-0.000064,1.554368,0.021397,0.069217,-0.000079,0.0,-0.000009,0.141015,-0.197164,0.001398,-0.009508,0.366996,-0.167682,0.001627,-0.190656,-0.009068,-0.013819,0.365137,-0.172422,0.001457,0.087031,0.174482,-0.000154,-0.348631,0.0,0.0,0.0,0.087083,-0.174572,0.000192,-0.348917,0.0,0.0,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,-0.00041,0.0,0.0,
0.000115,0.000614,0.876411,1.570863,-0.000064,1.554509,0.021397,0.069217,-0.000156,0.0,-0.000009,0.141148,-0.197164,0.001345,-0.009358,0.366996,-0.167682,0.001711,-0.190707,-0.009134,-0.013709,0.365147,-0.172382,0.001543,0.087,0.174482,-0.000176,-0.348577,0.0,0.0,0.0,0.087059,-0.174585,0.00022,-0.348904,0.0,0.0,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,-0.000469,0.0,0.0,
0.000136,0.000684,0.876411,1.570863,-0.000064,1.554649,0.021397,0.069217,-0.000079,0.0,-0.000009,0.140748,-0.197164,0.001292,-0.009208,0.366996,-0.167682,0.001796,-0.190759,-0.0092,-0.013599,0.365156,-0.172341,0.001629,0.086969,0.174482,-0.000198,-0.348523,-0.0,-0.0,0.0,0.087035,-0.174598,0.000247,-0.348891,0.0,0.0,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,-0.000527,0.0,-0.0,
0.000158,0.000753,0.876411,1.570863,-0.000064,1.554791,0.021397,0.069217,-0.000079,0.0,-0.000009,0.141148,-0.197164,0.001239,-0.009058,0.366996,-0.167682,0.00188,-0.19081,-0.009265,-0.013489,0.365165,-0.172301,0.001715,0.086938,0.174482,-0.00022,-0.348469,0.0,0.0,0.0,0.087011,-0.174611,0.000275,-0.348878,0.0,0.0,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,0.698068,0.706624,-0.000052,0.0,-0.000039,0.0,-0.000039,0.0,-0.000052,0.0,-0.000586,0.0,0.0,
